Time (s),Fthr (N),Fint (N),mtot (kg),uout (m/s),H (m),a (m/s^2),v (m/s),Q (m^3/s),PU (Pa),PH (Pa)
0.0001,0.0000,1.1523,1.5847,-0.0262,0.1000,-9.0828,-0.0009,0.0094,799955.2862,93888.1060
0.0002,0.2840,110.6998,1.5847,-2.5395,0.1000,60.2257,0.0051,0.0088,799913.2806,180069.7450
0.0003,2.4491,216.5844,1.5846,-7.4568,0.1000,128.4107,0.0180,0.0083,799873.9243,253533.0554
0.0004,8.4681,282.2609,1.5846,-13.8656,0.1000,173.6578,0.0353,0.0078,799836.9761,309669.5839
0.0005,17.7500,273.4360,1.5845,-20.0745,0.1000,173.9533,0.0527,0.0073,799801.9796,348212.8144
0.0006,26.4500,195.1013,1.5844,-24.5053,0.1000,130.0157,0.0657,0.0071,799768.3892,373427.6752
0.0007,31.7763,103.6373,1.5843,-26.8595,0.1000,75.6582,0.0733,0.0069,799735.7521,390474.8072
0.0008,34.3163,46.3176,1.5841,-27.9124,0.1000,41.0870,0.0774,0.0067,799703.7760,402776.2756
0.0009,35.6088,22.8831,1.5840,-28.4331,0.1000,27.1136,0.0801,0.0066,799672.2861,412078.0449
0.0010,36.4682,14.9670,1.5839,-28.7742,0.1000,22.6615,0.0824,0.0065,799641.1692,419290.3603
0.0011,37.1351,11.4818,1.5838,-29.0361,0.1000,20.8848,0.0845,0.0065,799610.3451,424974.7592
0.0012,37.6674,9.0761,1.5836,-29.2435,0.1000,19.7044,0.0864,0.0064,799579.7539,429519.1943
0.0013,38.0926,7.1945,1.5835,-29.4081,0.1000,18.7872,0.0883,0.0064,799549.3508,433200.9538
0.0014,38.4351,5.7536,1.5834,-29.5400,0.1000,18.0958,0.0901,0.0064,799519.1011,436220.3117
0.0015,38.7144,4.6626,1.5832,-29.6471,0.1000,17.5855,0.0919,0.0063,799488.9781,438723.6836
0.0016,38.9451,3.8273,1.5831,-29.7353,0.0999,17.2059,0.0936,0.0063,799458.9609,440819.7492
0.0017,39.1376,3.1766,1.5830,-29.8087,0.0999,16.9186,0.0953,0.0063,799429.0328,442590.4143
0.0018,39.2999,2.6616,1.5828,-29.8704,0.0999,16.6980,0.0970,0.0063,799399.1806,444098.2693
0.0019,39.4377,2.2487,1.5827,-29.9228,0.0999,16.5265,0.0986,0.0063,799369.3932,445391.7476
0.0020,39.5558,1.9140,1.5826,-29.9675,0.0999,16.3918,0.1002,0.0062,799339.6620,446508.7590
0.0021,39.6576,1.6400,1.5824,-30.0061,0.0999,16.2852,0.1019,0.0062,799309.9795,447479.2904
